"Navn";"NVDB_id";"SkiltetLengde";"Åpningsår";"Kommune";"AntallTunnelløp";"MaksAngittLengdeTunnelløp";"MaksFysiskLengdeTunnelløp";"ÅpningsårFraTunnelløp";"kommunerTunnelløp";"SSRtreff";"soketerm";"soketerm2";"X_utm32";"y_utm32";"SSR navn";"ssr_url"
"Oppskredtunnelen";"80566433";"600";"1976";"1525";"1";"607.0";"604.9398015624976";"";"1524,1525";"EKSAKT";"Oppskredtunnelen";"";"405348.24497605016";"6892408.63633379";"Oppskredtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Oppskredtunnelen%2A&ostLL=76353.78897&nordLL=6898661.89602&ostUR=110353.78897&nordUR=6932661.89602"
"Vulviktunnelen";"80566517";"";"1965";"1560";"1";"270.0";"269.7669735965608";"";"1560";"EKSAKT";"Vulviktunnelen";"";"453057.2943072589";"6982798.146382581";"Vulviktunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Vulviktunnelen%2A&ostLL=132351.90368&nordLL=6984371.32052&ostUR=166351.90368&nordUR=7018371.32052"
"Kansdaltunnelen";"80566568";"";"1965";"1560";"1";"183.0";"181.6022493928319";"";"1560";"EKSAKT";"Kansdaltunnelen";"";"453997.0679473428";"6981867.408666676";"Kansdaltunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Kansdaltunnelen%2A&ostLL=133202.04313&nordLL=6983355.50528&ostUR=167202.04313&nordUR=7017355.50528"
"Gyltunnelen";"80566620";"1040";"1977";"1560";"1";"1054.0";"1055.8443439840787";"";"1560";"EKSAKT";"Gyltunnelen";"";"454641.6655670437";"6981538.120707912";"Gyltunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Gyltunnelen%2A&ostLL=133814.0265&nordLL=6982966.97489&ostUR=167814.0265&nordUR=7016966.97489"
"Midtbekktunnelen";"80566779";"1040";"";"1563";"1";"987.0";"985.4888451158146";"";"1563";"EKSAKT";"Midtbekktunnelen";"";"476820.51662167575";"6955268.703733232";"Midtbekktunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Midtbekktunnelen%2A&ostLL=153477.19128&nordLL=6954706.61443&ostUR=187477.19128&nordUR=6988706.61443"
"Trettøytunnelen";"80566961";"1200";"";"1563";"1";"1182.0";"1181.429216532652";"";"1563";"EKSAKT";"Trettøytunnelen";"";"477307.71784285235";"6953850.878171975";"Trettøytunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Trett%C3%B8ytunnelen%2A&ostLL=153830.85027&nordLL=6953247.68669&ostUR=187830.85027&nordUR=6987247.68669"
"Fonnafonntunnelen";"80567164";"610";"";"1563";"1";"613.0";"601.5750695282119";"";"1563";"EKSAKT";"Fonnafonntunnelen";"";"477571.5664997673";"6951696.147663597";"Fonnafonntunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Fonnafonntunnelen%2A&ostLL=153893.21753&nordLL=6951074.8884&ostUR=187893.21753&nordUR=6985074.8884"
"Sørnestunnelen";"80567300";"";"1986";"1504";"1";"240.0";"240.3529301997732";"";"1504";"EKSAKT";"Sørnestunnelen";"";"357097.9208936667";"6929679.511279957";"Sørnestunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=S%C3%B8rnestunnelen%2A&ostLL=31676.92959&nordLL=6940335.46471&ostUR=65676.92959&nordUR=6974335.46471"
"Skuggetunnelen";"80567638";"";"1986";"1504";"1";"183.0";"182.66903212961";"";"1504";"EKSAKT";"Skuggetunnelen";"";"358128.33858054085";"6929488.54827739";"Skuggetunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Skuggetunnelen%2A&ostLL=32687.397859999997&nordLL=6940048.91287&ostUR=66687.39786&nordUR=6974048.91287"
"Hatlaåstunnelen";"80567688";"";"1986";"1504";"1";"314.0";"314.02186790365";"";"1504";"EKSAKT";"Hatlaåstunnelen";"";"360699.1240391911";"6928936.0525399735";"Hatlaåstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Hatla%C3%A5stunnelen%2A&ostLL=35201.29652&nordLL=6939258.11442&ostUR=69201.29652&nordUR=6973258.11442"
"Hjelviktunnelen";"80567786";"";"1960";"1539";"1";"337.0";"336.7183880556936";"";"1539";"EKSAKT";"Hjelviktunnelen";"";"410503.9852531615";"6944004.592694224";"Hjelviktunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Hjelviktunnelen%2A&ostLL=86294.62965&nordLL=6949651.98243&ostUR=120294.62965&nordUR=6983651.98243"
"Farkvamstunnelen";"80567847";"";"1943";"1539";"1";"84.0";"85.18762773604553";"";"1539";"EKSAKT";"Farkvamstunnelen";"";"416831.07979261485";"6938867.761525044";"Farkvamstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Farkvamstunnelen%2A&ostLL=92127.21482&nordLL=6943938.78274&ostUR=126127.21482&nordUR=6977938.78274"
"Bragernestunnelen";"81504557";"2";"2002";"602";"4";"2674.0";"2670.654786720762";"";"602";"EKSAKT";"Bragernestunnelen";"";"568020.1977313258";"6624224.250825783";"Bragernestunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Bragernestunnelen%2A&ostLL=213992.41638&nordLL=6616324.83832&ostUR=247992.41638&nordUR=6650324.83832"
"Strømsåstunnelen";"81507453";"3";"2001";"602";"1";"3738.0";"3743.394409007745";"";"602";"EKSAKT";"Strømsåstunnelen";"";"566877.3819437223";"6621925.07677616";"Strømsåstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Str%C3%B8ms%C3%A5stunnelen%2A&ostLL=212645.37102&nordLL=6614136.52293&ostUR=246645.37102&nordUR=6648136.52293"
"Elgskauås";"81509268";"2";"2000";"627";"1";"2630.0";"2632.0026603907468";"";"627";"FLERE";"Elgskauås";"";"581871.1085758796";"6620459.966996759";"Elgskauås,Elgskauåstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Elgskau%C3%A5s%2A&ostLL=227456.93795&nordLL=6611320.49193&ostUR=261456.93795&nordUR=6645320.49193"
"Stampeleinås";"81509457";"400";"2000";"628";"1";"381.0";"380.63295068214575";"";"628";"FLERE";"Stampeleinås";"";"586580.9803948249";"6615090.856713891";"Stampeleinås,Stampeleinåstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Stampelein%C3%A5s%2A&ostLL=231665.5755&nordLL=6605543.89234&ostUR=265665.57550000004&nordUR=6639543.89234"
"Merraskott";"81509484";"600";"2000";"628";"1";"610.0";"610.3745433754075";"";"628";"FLERE";"Merraskott";"";"587395.0641181951";"6615120.656959615";"Merraskottunnelen,Merraskott";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Merraskott%2A&ostLL=232479.57706&nordLL=6605500.03325&ostUR=266479.57706000004&nordUR=6639500.03325"
"Åsa vest";"81509681";"";"1973";"605";"1";"117.0";"117.27020514898123";"";"605";"INGEN";"åsa";"å";"573311.174147865";"6666465.560422303";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=%C3%A5%2A&ostLL=223093.93588&nordLL=6657946.6175&ostUR=257093.93588&nordUR=6691946.6175"
"Åsa øst";"81509703";"";"1973";"605";"1";"95.0";"94.98513627257658";"";"605";"INGEN";"åsa";"å";"574252.6662009498";"6666946.378836811";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=%C3%A5%2A&ostLL=224075.91121&nordLL=6658340.33529&ostUR=258075.91121&nordUR=6692340.33529"
"Geiteryggtunnelen";"81509792";"3290";"1973";"620";"1";"3281.0";"3288.5566284087217";"";"620";"EKSAKT-forenklet1";"geiterygg";"";"424211.7470137888";"6731755.335317417";"Geiteryggen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=geiterygg%2A&ostLL=80365.89998&nordLL=6736644.37044&ostUR=114365.89998&nordUR=6770644.37044"
"Rustand";"81510239";"";"1968";"633";"1";"53.0";"51.849410981286255";"";"633";"EKSAKT";"Rustand";"";"500866.6987976655";"6672146.596054306";"Rustand";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Rustand%2A&ostLL=151388.5618&nordLL=6670192.78123&ostUR=185388.5618&nordUR=6704192.78123"
"Hallingporten";"81510260";"";"1975";"615";"1";"65.0";"57.10322115947522";"";"615";"EKSAKT";"Hallingporten";"";"532471.4748232787";"6694749.854835189";"Hallingporten";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Hallingporten%2A&ostLL=184957.69022&nordLL=6689853.51966&ostUR=218957.69022&nordUR=6723853.51966"
"Sønsterud tunnel";"81510304";"";"1940";"612";"1";"125.0";"120.65537142046117";"";"612";"EKSAKT";"Sønsterud tunnel";"";"572519.7975587421";"6651297.852421692";"Sønsterud tunnel";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=S%C3%B8nsterud+tunnel%2A&ostLL=220929.03127&nordLL=6642901.54555&ostUR=254929.03127&nordUR=6676901.54555"
"Nes tunnel";"81510370";"1";"1988";"612";"1";"1290.0";"1288.8689035023517";"";"612";"EKSAKT";"Nes tunnel";"";"571729.5859537916";"6652247.727980986";"Nes tunnel";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Nes+tunnel%2A&ostLL=220227.58502&nordLL=6643919.90469&ostUR=254227.58502&nordUR=6677919.90469"
"Skaret";"81511198";"460";"1987";"612";"1";"465.0";"438.4860706425858";"";"612";"EKSAKT";"Skaret";"";"573316.9654016831";"6650026.799461017";"Skaret";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Skaret%2A&ostLL=221608.29677&nordLL=6641562.4639&ostUR=255608.29677&nordUR=6675562.4639"
"Kleivene";"81511698";"1820";"2009";"602";"3";"1825.0";"1824.327615840287";"";"602";"EKSAKT";"Kleivene";"";"569030.133181075";"6620957.286155592";"Kleivene";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Kleivene%2A&ostLL=214703.58083&nordLL=6612977.20786&ostUR=248703.58083&nordUR=6646977.20786"
"Midttun Miljøtunnelen";"82252781";"";"";"1201";"1";"";"91.1827962808494";"";"1201";"INGEN";"midttun";"midttun";"298859.8357908968";"6692041.015083184";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=midttun%2A&ostLL=-48400.6866&nordLL=6708466.95041&ostUR=-14400.6866&nordUR=6742466.95041"
"Hopstunnelen";"82252866";"750";"";"1201";"1";"";"761.9127293585497";"";"1201";"EKSAKT";"Hopstunnelen";"";"297766.0804481459";"6692724.2313053";"Hopstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Hopstunnelen%2A&ostLL=-49430.64458&nordLL=6709249.36027&ostUR=-15430.64458&nordUR=6743249.36027"
"Nesttuntunnelen";"82253658";"600";"";"1201";"1";"";"607.0034294345786";"";"1201";"EKSAKT";"Nesttuntunnelen";"";"298396.8097399092";"6692190.057117913";"Nesttuntunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Nesttuntunnelen%2A&ostLL=-48849.52392&nordLL=6708658.15239&ostUR=-14849.52392&nordUR=6742658.15239"
"Kveldsfesteskredotunnelen Velure overbygg";"82258088";"";"";"1231";"1";"471.0";"470.7249744688952";"";"1231";"EKSAKT-forenklet1";"kveldsfesteskredo velure";"";"367851.06530649774";"6689854.598191146";"Kveldsfesteskredo Velure o";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=kveldsfesteskredo+velure%2A&ostLL=20288.46542&nordLL=6699980.19164&ostUR=54288.46542&nordUR=6733980.19164"
"Kråkeskartunnelen";"82259127";"";"";"1241";"1";"529.0";"528.4520808454606";"";"1241";"FLERE";"kråkeskar";"";"316438.4070474799";"6687568.448474088";"Kr책keskaret,Kr책keskar";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=kr%C3%A5keskar%2A&ostLL=-31253.378109999998&nordLL=6702393.29354&ostUR=2746.6218900000003&nordUR=6736393.29354"
"Bogetunnelen";"82259386";"";"";"1251";"1";"";"2043.7850470571989";"";"1251";"EKSAKT-forenklet1";"bog";"";"321201.90803266177";"6707967.636807419";"Boge";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=bog%2A&ostLL=-24630.973299999998&nordLL=6722328.71057&ostUR=9369.0267&nordUR=6756328.71057"
"Stokkadjuvtunnelen";"82262725";"";"";"1219";"1";"296.0";"295.94061451967787";"";"1219";"INGEN";"stokkadjuv";"stokkadjuv";"293056.75954692636";"6630687.066478518";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=stokkadjuv%2A&ostLL=-59792.828&nordLL=6647711.49097&ostUR=-25792.828&nordUR=6681711.49097"
"Digernes";"82262892";"";"";"1221";"1";"142.0";"142.51353337881739";"";"1221";"EKSAKT";"Digernes";"";"298043.1504663781";"6629274.5951855825";"Digernestunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Digernes%2A&ostLL=-54940.20931&nordLL=6645847.00516&ostUR=-20940.20931&nordUR=6679847.00516"
"Folgefonntunnelen";"82263141";"11150";"";"1224";"1";"11137.0";"11181.106222897139";"";"1224,1228";"EKSAKT";"Folgefonntunnelen";"";"357443.74719296995";"6666765.252990023";"Folgefonntunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Folgefonntunnelen%2A&ostLL=7792.706880000002&nordLL=6677879.22573&ostUR=41792.70688&nordUR=6711879.22573"
"Åkrafjord";"82265541";"";"2000";"1211";"1";"7404.0";"7428.301996506992";"";"1211";"EKSAKT";"Åkrafjord";"";"341117.1449855397";"6629727.099007788";"Åkrafjordtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=%C3%85krafjord%2A&ostLL=-11879.240829999999&nordLL=6642383.46496&ostUR=22120.75917&nordUR=6676383.46496"
"Bømlafjord";"82266939";"";"";"1221";"1";"7888.0";"7892.179119544004";"";"1216,1221";"EKSAKT";"Bømlafjord";"";"300520.1002712283";"6624809.617058924";"Bømlafjordtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=B%C3%B8mlafjord%2A&ostLL=-52871.91206&nordLL=6641161.68315&ostUR=-18871.912060000002&nordUR=6675161.68315"
"Fossånatunnelen";"82271870";"";"";"1232";"1";"367.0";"365.69206481266184";"";"1232";"EKSAKT-forenklet1";"fossåna";"";"386438.97086989664";"6705710.8401499735";"Foss책na";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=foss%C3%A5na%2A&ostLL=40290.47151&nordLL=6714109.33867&ostUR=74290.47151&nordUR=6748109.33867"
"Fresvik";"82271873";"";"";"1231";"1";"2162.0";"2169.801420038068";"";"1231";"EKSAKT";"Fresvik";"";"365972.4013186245";"6673146.970384043";"Fresvik";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Fresvik%2A&ostLL=16888.796759999997&nordLL=6683472.90767&ostUR=50888.79676&nordUR=6717472.90767"
"Nygårdtunnelen";"82271942";"";"";"1201";"4";"";"857.494435630166";"";"1201";"EKSAKT-forenklet1";"nygård";"";"297570.9655449431";"6699891.371475905";"Nygårdstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=nyg%C3%A5rd%2A&ostLL=-48969.891780000005&nordLL=6716425.67779&ostUR=-14969.891780000002&nordUR=6750425.67779"
"Tirnestunnelen";"82274095";"";"";"1266";"1";"";"223.2865426809743";"";"1266";"INGEN";"tirne";"tirn";"312032.63252230396";"6753149.295175039";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=tirn%2A&ostLL=-29643.519&nordLL=6768286.92989&ostUR=4356.481&nordUR=6802286.92989"
"Trysdaltunnelen";"82274098";"";"";"1266";"1";"";"554.5350035093791";"";"1266";"INGEN";"trysdal";"trysdal";"313343.4599690214";"6752847.807360499";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=trysdal%2A&ostLL=-28362.27891&nordLL=6767865.41728&ostUR=5637.721089999999&nordUR=6801865.41728"
"Stiganestunnelen";"82274101";"";"";"1232";"1";"351.0";"358.260794323752";"";"1232";"EKSAKT-forenklet1";"stigane";"";"395218.7949378413";"6703091.715838059";"Stiganes";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=stigane%2A&ostLL=48813.747090000004&nordLL=6710693.12797&ostUR=82813.74709&nordUR=6744693.12797"
"Vindhammertunnelen";"82274160";"";"";"1231";"1";"118.0";"118.18762221352964";"";"1231";"EKSAKT-forenklet1";"vindhammer";"";"366329.267006089";"6674938.356737809";"Vindhammer";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=vindhammer%2A&ostLL=17408.37745&nordLL=6685228.68797&ostUR=51408.37745&nordUR=6719228.68797"
"Uføreberget tunnel";"82274185";"338";"2004";"1134";"1";"338.0";"345.6317559282984";"";"1228,1134";"EKSAKT-forenklet1";"uføreberget";"";"372859.0944898985";"6620096.979986013";"Uføreberget";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=uf%C3%B8reberget%2A&ostLL=18939.098879999998&nordLL=6629886.29236&ostUR=52939.09888&nordUR=6663886.29236"
"Tiråstunnelen";"82274191";"";"";"1253";"1";"";"2021.4340104419255";"";"1253";"EKSAKT-forenklet1";"tirå";"";"309656.57816427806";"6705505.939221918";"Tirås";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=tir%C3%A5%2A&ostLL=-36385.79202&nordLL=6720927.0851&ostUR=-2385.792020000001&nordUR=6754927.0851"
"Klubbentunnelen I";"82274558";"";"";"1252";"1";"";"92.95557154197566";"";"1252";"FLERE";"klubb";"";"323771.758857152";"6745527.788496218";"Klubben II,Klubben I";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=klubb%2A&ostLL=-18621.72864&nordLL=6759598.31517&ostUR=15378.27136&nordUR=6793598.31517"
"Klubbentunnelen II";"82274561";"";"";"1252";"1";"";"177.03471030399407";"";"1252";"FLERE";"klubb";"";"324282.4129489889";"6745864.03804735";"Klubben II,Klubben I";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=klubb%2A&ostLL=-18080.97291&nordLL=6759887.17038&ostUR=15919.02709&nordUR=6793887.17038"
"Blakhammar";"82274584";"";"";"1231";"1";"220.0";"221.3215027480519";"";"1231";"EKSAKT";"Blakhammar";"";"379707.39612749196";"6704359.777924112";"Blakhammar";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Blakhammar%2A&ostLL=33448.23041&nordLL=6713376.04645&ostUR=67448.23040999999&nordUR=6747376.04645"
"Høydalstunnelen";"82274650";"";"";"1263";"1";"";"526.6957605977481";"";"1263";"EKSAKT";"Høydalstunnelen";"";"317253.5669475083";"6737846.948061755";"Høydalstunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=H%C3%B8ydalstunnelen%2A&ostLL=-25835.33552&nordLL=6752527.1247&ostUR=8164.6644799999995&nordUR=6786527.1247"
"Fuglebergtunnelen";"82274729";"";"";"1252";"1";"";"2057.9037082546474";"";"1252";"EKSAKT";"Fuglebergtunnelen";"";"320577.83297569084";"6741269.7711772695";"Fuglebergtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Fuglebergtunnelen%2A&ostLL=-22201.78208&nordLL=6755639.85896&ostUR=11798.21792&nordUR=6789639.85896"
"Mostraumtunnelen";"82274966";"";"";"1252";"1";"";"740.0039636041741";"";"1252";"EKSAKT";"Mostraumtunnelen";"";"322073.32448347716";"6741497.308306616";"Mostraumtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Mostraumtunnelen%2A&ostLL=-20687.62136&nordLL=6755729.79152&ostUR=13312.378639999999&nordUR=6789729.79152"
"Slottsportentunnelen";"82275086";"";"";"1252";"1";"";"953.7322955337314";"";"1252";"EKSAKT";"Slottsportentunnelen";"";"323175.68529335526";"6743535.815872692";"Slottsportentunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Slottsportentunnelen%2A&ostLL=-19399.78478&nordLL=6757664.06358&ostUR=14600.21522&nordUR=6791664.06358"
"Bjorøytunnelen";"82275202";"";"";"1201";"1";"";"2016.0678350919534";"";"1201,1246";"INGEN";"bjorøy";"bjorøy";"289404.986163141";"6695179.91094173";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=bjor%C3%B8y%2A&ostLL=-57557.31883&nordLL=6712466.92108&ostUR=-23557.318829999997&nordUR=6746466.92108"
"Lausasteintunnelen";"82275452";"";"";"1228";"1";"654.0";"655.4384713347675";"";"1228";"EKSAKT-forenklet1";"lausastein";"";"364320.9966245161";"6657674.909806493";"Lausastein";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=lausastein%2A&ostLL=13830.58638&nordLL=6668177.44802&ostUR=47830.58638&nordUR=6702177.44802"
"Masfjordtunnelen";"82275579";"";"";"1266";"1";"";"4114.134670130624";"";"1266";"EKSAKT";"Masfjordtunnelen";"";"314470.65411467664";"6751282.958913725";"Masfjordtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Masfjordtunnelen%2A&ostLL=-27380.49798&nordLL=6766199.25598&ostUR=6619.50202&nordUR=6800199.25598"
"Markhus";"82276077";"";"1995";"1211";"1";"2405.0";"2448.5590416265545";"";"1211";"FLERE";"Markhus";"";"344961.0615726121";"6634481.037975877";"Markhustunnelen,Markhus";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Markhus%2A&ostLL=-7608.875599999999&nordLL=6646781.17451&ostUR=26391.1244&nordUR=6680781.17451"
"Ljoraskreotunnelen";"82276395";"";"";"1233";"1";"";"830.7536711805888";"";"1233";"INGEN";"ljoraskreo";"ljoraskreo";"390395.4179523767";"6717629.395755826";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=ljoraskreo%2A&ostLL=45328.93271&nordLL=6725642.8259&ostUR=79328.93271&nordUR=6759642.8259"
"Glymjetunnelen";"82276412";"";"";"1211";"1";"809.0";"806.4422480868427";"";"1211";"EKSAKT-forenklet1";"glymj";"";"346935.95379952085";"6635707.210052384";"Glymje";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=glymj%2A&ostLL=-5525.452429999999&nordLL=6647826.01932&ostUR=28474.547570000002&nordUR=6681826.01932"
"Trengereidtunnelen";"82276490";"1773";"";"1201";"1";"";"1792.719155693465";"";"1201,1251";"EKSAKT";"Trengereidtunnelen";"";"314946.8176965428";"6703966.809281563";"Trengereidtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Trengereidtunnelen%2A&ostLL=-31243.506260000002&nordLL=6718905.8779&ostUR=2756.49374&nordUR=6752905.8779"
"Kviturtunnelen";"82276702";"";"";"1228";"1";"470.0";"459.88932090779997";"";"1228";"EKSAKT-forenklet1";"kvitur";"";"363693.5689235099";"6664531.526044177";"Kvitur";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=kvitur%2A&ostLL=13828.6643&nordLL=6675079.73377&ostUR=47828.664300000004&nordUR=6709079.73377"
"Lyderhornstunnelen";"82276783";"";"";"1201";"2";"";"1116.9751375808016";"";"1201";"FLERE";"lyderhorn";"";"292701.13709957607";"6698361.67849117";"Lyderhorn 2,Lyderhorn 1";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=lyderhorn%2A&ostLL=-53973.87358&nordLL=6715343.4252&ostUR=-19973.87358&nordUR=6749343.4252"
"Hordviktunnelen";"82277379";"";"";"1201";"1";"";"805.087821768279";"";"1201";"EKSAKT";"Hordviktunnelen";"";"296899.39251251274";"6714251.66318369";"Hordviktunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Hordviktunnelen%2A&ostLL=-48325.763399999996&nordLL=6730829.83801&ostUR=-14325.7634&nordUR=6764829.83801"
"Langfoss";"82277886";"";"1992";"1211";"1";"726.0";"724.3865131490874";"";"1211";"EKSAKT";"Langfoss";"";"350434.8896610162";"6636898.4162492035";"Langfoss";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Langfoss%2A&ostLL=-1923.5000500000006&nordLL=6648697.37361&ostUR=32076.499949999998&nordUR=6682697.37361"
"Toppetunnelen";"82278227";"";"";"1201";"1";"";"114.57659546938793";"";"1201";"INGEN";"topp";"topp";"295425.3935851989";"6711374.513695978";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=topp%2A&ostLL=-50061.52757&nordLL=6728091.26111&ostUR=-16061.527569999998&nordUR=6762091.26111"
"Lyngbøtunnelen";"82278307";"";"";"1201";"1";"";"39.192885248819046";"";"1201";"INGEN";"lyngbø";"lyngbø";"293963.62659771496";"6699403.966661815";"";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=lyngb%C3%B8%2A&ostLL=-52617.4986&nordLL=6716268.95729&ostUR=-18617.4986&nordUR=6750268.95729"
"Olsviktunnelen";"82278310";"";"";"1201";"1";"";"1075.2878499422734";"";"1201";"EKSAKT";"Olsviktunnelen";"";"291460.90732955304";"6700207.377947113";"Olsviktunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Olsviktunnelen%2A&ostLL=-55043.74722&nordLL=6717300.45834&ostUR=-21043.747219999997&nordUR=6751300.45834"
"Stongafjelltunnelen";"82279005";"";"";"1247";"1";"";"696.4718581759134";"";"1247";"EKSAKT";"Stongafjelltunnelen";"";"290806.8364343416";"6702607.275230552";"Stongafjelltunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Stongafjelltunnelen%2A&ostLL=-55477.39042&nordLL=6719757.41993&ostUR=-21477.390420000003&nordUR=6753757.41993"
"Lianakktunnelen";"82280195";"";"";"1201";"2";"";"191.7740745979325";"";"1201";"FLERE";"lianakk";"";"293616.5143275515";"6699156.247741456";"Lianakk 2,Lianakk 1";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=lianakk%2A&ostLL=-52986.86796&nordLL=6716053.29561&ostUR=-18986.867960000003&nordUR=6750053.29561"
"Damsgårdtunnelen";"82280515";"";"";"1201";"4";"";"2371.2168294866897";"";"1201";"EKSAKT";"Damsgårdtunnelen";"";"295699.47870029765";"6699617.818139067";"Damsgårdtunnelen";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=Damsg%C3%A5rdtunnelen%2A&ostLL=-50864.14921&nordLL=6716323.70865&ostUR=-16864.149210000003&nordUR=6750323.70865"
"Fjontunnelen";"82283029";"";"";"1216";"1";"194.0";"194.01741161424823";"";"1216";"EKSAKT-forenklet1";"fjon";"";"298448.15188404045";"6602203.254380664";"Fjon";"https://ws.geonorge.no/SKWS3Index/ssr/sok?maxAnt=50&navn=fjon%2A&ostLL=-56994.5411&nordLL=6618767.52503&ostUR=-22994.541100000002&nordUR=6652767.52503"
